,File_List,Header,Text
288,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_81.png'],APARTMENTS AN D TOWN HOUSES,Colonial Apartments 173 Benefit St
289,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_82.png'],APARTMENTS AN D TOWN HOUSES,Colonial Apartments 175 Benefit St
290,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_83.png'],APARTMENTS AN D TOWN HOUSES,Colonial Apartments 185 Benefit St
291,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_84.png'],APARTMENTS AN D TOWN HOUSES,Qolony Apartments 95 Updike St
292,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_85.png'],APARTMENTS AN D TOWN HOUSES,Colony Court Apartment8 40 Melrose St
293,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_86.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_87.png']",APARTMENTS AN D TOWN HOUSES,Comstock Avemie Apartments 118 Comstock Av
294,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_88.png'],APARTMENTS AN D TOWN HOUSES,Cure 116 Evergreen St
295,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_89.png'],APARTMENTS AN D TOWN HOUSES,gushing Apartments 315 Thayer St
296,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_90.png'],APARTMENTS AN D TOWN HOUSES,Dartmouth Apartments 53 Ddrtmouth Av
297,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_91.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_92.png']",APARTMENTS AN D TOWN HOUSES,Dartmouth Village Apartments 12 Dartmouth Av
298,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_3.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_4.png']",APARTMENTS AND TOWN HOUSES CONTD,Dartmouth Village Apartments 76 Westminster St Rm 304
299,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_5.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_6.png']",APARTMENTS AND TOWN HOUSES CONTD,Declemente Francis Apartments 48 Marlborough Av
300,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_7.png'],APARTMENTS AND TOWN HOUSES CONTD,Dexter Manor 100 Broad St
301,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_8.png'],APARTMENTS AND TOWN HOUSES CONTD,Diamond Apartments 15 Elmgrove Av
302,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_9.png'],APARTMENTS AND TOWN HOUSES CONTD,Di Orio Alfred Apartments 232 Broad St
303,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_10.png'],APARTMENTS AND TOWN HOUSES CONTD,Doherty Apartments 550 Broad St
304,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_11.png'],APARTMENTS AND TOWN HOUSES CONTD,Dorris Apartments The 300 Elmwood Av
305,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_12.png'],APARTMENTS AND TOWN HOUSES CONTD,Dostou Louis 55 Parkis Av
306,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_13.png'],APARTMENTS AND TOWN HOUSES CONTD,Doyle Apartments 108 Doyle Av
307,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_14.png'],APARTMENTS AND TOWN HOUSES CONTD,Edgewood Arms 158 Medway St
308,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_15.png'],APARTMENTS AND TOWN HOUSES CONTD,Eight Elmgrove Av Apts 8 Elmgrove Av
309,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_16.png'],APARTMENTS AND TOWN HOUSES CONTD,Eldorado Apartments 211 Waterman St
310,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_17.png'],APARTMENTS AND TOWN HOUSES CONTD,Elmg'rove Apartments 152 Elmg'rove Av
311,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_18.png'],APARTMENTS AND TOWN HOUSES CONTD,Elva Apartments 825 Westminster St
312,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_19.png'],APARTMENTS AND TOWN HOUSES CONTD,Embassy House 395 Angel) St
313,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_20.png'],APARTMENTS AND TOWN HOUSES CONTD,Emery Apartments 461 Elmwood Av
314,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_21.png'],APARTMENTS AND TOWN HOUSES CONTD,Emery Apartments 483 Elmwood Av
315,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_22.png'],APARTMENTS AND TOWN HOUSES CONTD,Essex Apartments 3 De Foe Pl
316,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_23.png'],APARTMENTS AND TOWN HOUSES CONTD,Everett Apartments The 111 Everett Av
317,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_24.png'],APARTMENTS AND TOWN HOUSES CONTD,Everglade The 120 S Angeli St
318,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_25.png'],APARTMENTS AND TOWN HOUSES CONTD,Evergreen Apartments 116 Evergreen St
319,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_26.png'],APARTMENTS AND TOWN HOUSES CONTD,Evergreen Apartments 229 Camb St
320,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_27.png'],APARTMENTS AND TOWN HOUSES CONTD,Evergreen Apts The 89 Woodbilie St
321,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_28.png'],APARTMENTS AND TOWN HOUSES CONTD,Falk Edw 442 Pine St
322,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_29.png'],APARTMENTS AND TOWN HOUSES CONTD,Faulk Apts 715 Westminster St
323,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_30.png'],APARTMENTS AND TOWN HOUSES CONTD,"Femcroft The (Linden Associates) 114 S Angel)
St"
324,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_31.png'],APARTMENTS AND TOWN HOUSES CONTD,Fifty Common St Apts 50 Common St
325,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_32.png'],APARTMENTS AND TOWN HOUSES CONTD,Flaminio Parenti Father Villa 25 Tobey St
326,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_33.png'],APARTMENTS AND TOWN HOUSES CONTD,Fraser Apartments 138 Benefit St
327,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_34.png'],APARTMENTS AND TOWN HOUSES CONTD,Fraser Apartments 119 Benefit St
328,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_35.png'],APARTMENTS AND TOWN HOUSES CONTD,Fruit Hill Apts 1621 Smith St (N Prov)
329,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_36.png'],APARTMENTS AND TOWN HOUSES CONTD,Gano Apartments 231 Gano St
330,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_37.png'],APARTMENTS AND TOWN HOUSES CONTD,Gianfrancesco Apartments 295 Admiral St
331,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_38.png'],APARTMENTS AND TOWN HOUSES CONTD,Governor Apartments Inc 38 Bridgham St
332,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_39.png'],APARTMENTS AND TOWN HOUSES CONTD,Governor Apartments Inc 198 GoJemor St
333,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_40.png'],APARTMENTS AND TOWN HOUSES CONTD,Granada Apts 1701 Smith St (N Prov)
334,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_41.png'],APARTMENTS AND TOWN HOUSES CONTD,Greenberg Irving 257 Gano St
335,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_42.png'],APARTMENTS AND TOWN HOUSES CONTD,Qreenberg Melvin 78 Medway St
336,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_43.png'],APARTMENTS AND TOWN HOUSES CONTD,Greenberg Richd Apartmentsv 226 Gano St
337,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_44.png'],APARTMENTS AND TOWN HOUSES CONTD,galsey Estate 140 Prospect St
338,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_45.png'],APARTMENTS AND TOWN HOUSES CONTD,Hamilton House 1363 Smith St (N Prov)
339,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_46.png'],APARTMENTS AND TOWN HOUSES CONTD,Hampton Apartments The 27 Greenwich St
340,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_47.png'],APARTMENTS AND TOWN HOUSES CONTD,Harvard Apartments 50 Harvard Av
341,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_48.png'],APARTMENTS AND TOWN HOUSES CONTD,
342,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_49.png'],APARTMENTS AND TOWN HOUSES CONTD,Henry Apartments- 489 Elmwood Av
343,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_50.png'],APARTMENTS AND TOWN HOUSES CONTD,Hillcrest Apartments 7 Brownell St
344,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_51.png'],APARTMENTS AND TOWN HOUSES CONTD,Hungtington Tower 170 Benedict St
345,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_52.png'],APARTMENTS AND TOWN HOUSES CONTD,Ivanhoe Apartments 79 Ivan St (N Prov)
346,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_53.png'],APARTMENTS AND TOWN HOUSES CONTD,Jane-Mor Apartments 1370 Smith St (N Prov)
347,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_54.png'],APARTMENTS AND TOWN HOUSES CONTD,Kay Apartments 395 Benefit St
348,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_55.png'],APARTMENTS AND TOWN HOUSES CONTD,Kilmartin John D Sr Plaza 160 Benedict St
349,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_56.png'],APARTMENTS AND TOWN HOUSES CONTD,Tafayette The 380 Lloyd Av
350,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_57.png'],APARTMENTS AND TOWN HOUSES CONTD,Le Blanc Apartments 157 Manton Av
351,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_58.png'],APARTMENTS AND TOWN HOUSES CONTD,Lincoln Apartments 8 Blackstone Blvd
352,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_59.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_60.png']",APARTMENTS AND TOWN HOUSES CONTD,Lihden Associates Apartments 169 Waterman St
353,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_61.png'],APARTMENTS AND TOWN HOUSES CONTD,Linwood Apartments 126 Linwood Av
354,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_62.png'],APARTMENTS AND TOWN HOUSES CONTD,Einwood Court Apartments 102 Linwood Av
355,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_63.png'],APARTMENTS AND TOWN HOUSES CONTD,Lloyd Manor Amiex 126 Taber Av
356,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_64.png'],APARTMENTS AND TOWN HOUSES CONTD,Lloyd Manor Apartments 375 Lloyd Av
357,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_65.png'],APARTMENTS AND TOWN HOUSES CONTD,Lola Apartmenfs 242 Broad St
358,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_66.png'],APARTMENTS AND TOWN HOUSES CONTD,Londergan Cecelia M 85 Governor St
359,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_67.png'],APARTMENTS AND TOWN HOUSES CONTD,London Norman 18 Bridgham St
360,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_68.png'],APARTMENTS AND TOWN HOUSES CONTD,Lynmar Apartments 444 wFriendship St
361,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_69.png'],APARTMENTS AND TOWN HOUSES CONTD,Madison House 242 Smithfield Rd.(N Prov)
362,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_70.png'],APARTMENTS AND TOWN HOUSES CONTD,Mae Apartments 98 Waterman St 1
363,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_71.png'],APARTMENTS AND TOWN HOUSES CONTD,Manning Gardens 96 E Manning St
364,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_72.png'],APARTMENTS AND TOWN HOUSES CONTD,Manor Apartments The 80 Plenzy St
365,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_73.png'],APARTMENTS AND TOWN HOUSES CONTD,Margaret Mary Apartments 129 vThayer St
366,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_74.png'],APARTMENTS AND TOWN HOUSES CONTD,Margaret Mary Abartments 63 Beneirolent St
367,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_75.png'],APARTMENTS AND TOWN HOUSES CONTD,Massasoit Apa-rtmiants 147 Benefit St
368,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_76.png'],APARTMENTS AND TOWN HOUSES CONTD,Mawney Apartments 74 Mawney St
369,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_77.png'],APARTMENTS AND TOWN HOUSES CONTD,Medway Manor Apartments 107 Medway St
370,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_78.png'],APARTMENTS AND TOWN HOUSES CONTD,"v

Metcalf Court 555'Veazie St (N Prov)"
371,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_79.png'],APARTMENTS AND TOWN HOUSES CONTD,Minden Apts 125 Waterman St
372,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_80.png'],APARTMENTS AND TOWN HOUSES CONTD,Mohican Apartments 189 Smith St
373,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_81.png'],APARTMENTS AND TOWN HOUSES CONTD,Monarch Realty Apts 140 Humboldt Av
374,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_82.png'],APARTMENTS AND TOWN HOUSES CONTD,Morein Sam) 228 Waterman St
375,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_83.png'],APARTMENTS AND TOWN HOUSES CONTD,Morris House The 34 Benefit St
376,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_84.png'],APARTMENTS AND TOWN HOUSES CONTD,Moshassuck Sq Apartments 400 N Main St
377,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_85.png'],APARTMENTS AND TOWN HOUSES CONTD,Moshassuck Sduaf'e Apartments 93 Charles St
378,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_86.png'],APARTMENTS AND TOWN HOUSES CONTD,Mo8hassuck Square Abartments 73 Charles St
379,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_87.png'],APARTMENTS AND TOWN HOUSES CONTD,Myburn Realty Apartfnents 212 Waterman St
380,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_88.png'],APARTMENTS AND TOWN HOUSES CONTD,Neri Mario Aparfments 43 Parkis Av
381,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_89.png'],APARTMENTS AND TOWN HOUSES CONTD,Niagara Apartments 131 Niagara St
382,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_90.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_91.png']",APARTMENTS AND TOWN HOUSES CONTD,Av(N Prov) -
383,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_92.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_93.png']",APARTMENTS AND TOWN HOUSES CONTD,Northview Apartments 1801 Mineral Spring Av(N Prov)
384,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_94.png'],APARTMENTS AND TOWN HOUSES CONTD,aney Manor Apartments 214 Olney St
385,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_95.png'],APARTMENTS AND TOWN HOUSES CONTD,aney Towers 1 Valley St
386,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_96.png'],APARTMENTS AND TOWN HOUSES CONTD,P D L Associates Apia 238 Saratoga St
387,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (3)_3.png'],APARTMENTS AND TOWN HOUSES CONTD,Pace Industrial Apartments Inc 193 Benefit St
388,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (3)_4.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (3)_5.png']",APARTMENTS AND TOWN HOUSES CONTD,Page Apartments (Gemini Hotel Management Corp) 339 Washington St
389,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (3)_6.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (3)_7.png']",APARTMENTS AND TOWN HOUSES CONTD,Paragon Apartments The (Blackstone Blvd Inc) 20 Blackstone Blvd
390,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (3)_8.png'],APARTMENTS AND TOWN HOUSES CONTD,Park Apartments 1216 Broad St
391,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (3)_9.png'],APARTMENTS AND TOWN HOUSES CONTD,Park Apartments 107 Park St
392,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (3)_10.png'],APARTMENTS AND TOWN HOUSES CONTD,Park Lane Apartments 485 Broadway
393,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (3)_11.png'],APARTMENTS AND TOWN HOUSES CONTD,Parkis Place 9 Parkis Av
394,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (3)_12.png'],APARTMENTS AND TOWN HOUSES CONTD,Parkway Apts The 23 Vemdale Av
395,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (3)_13.png'],APARTMENTS AND TOWN HOUSES CONTD,Pashian Apartments 70 Mawney St
396,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (3)_14.png'],APARTMENTS AND TOWN HOUSES CONTD,Plantation The 230 S Main St
397,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (3)_15.png'],APARTMENTS AND TOWN HOUSES CONTD,President Apartments 242 President Av
398,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (3)_16.png'],APARTMENTS AND TOWN HOUSES CONTD,President Apartments 234 President Av
399,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (3)_17.png'],APARTMENTS AND TOWN HOUSES CONTD,Preston Apartments The 135 Parade St
400,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (3)_18.png'],APARTMENTS AND TOWN HOUSES CONTD,Primavera Apartments 490 Angell St
401,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (3)_19.png'],APARTMENTS AND TOWN HOUSES CONTD,Red Wing Apartments 475 Elmwood Av
402,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (3)_20.png'],APARTMENTS AND TOWN HOUSES CONTD,Regal Arms Apartments 8 Somerset St
403,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (3)_21.png'],APARTMENTS AND TOWN HOUSES CONTD,Regency Apartments The 60 Broadway
404,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (3)_22.png'],APARTMENTS AND TOWN HOUSES CONTD,Regency East Apartments 1 Jackson Walkway
405,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (3)_23.png'],APARTMENTS AND TOWN HOUSES CONTD,Regency West Apartments 2 Jackson Walkway
406,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (3)_24.png'],APARTMENTS AND TOWN HOUSES CONTD,Regina Apartments 176 Atlantic Av
407,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (3)_25.png'],APARTMENTS AND TOWN HOUSES CONTD,Rose-Marie Apartments 16 Bridgham St
408,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (3)_26.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (3)_27.png']",APARTMENTS AND TOWN HOUSES CONTD,Royal Villa Apartments 2 Smithfield Rd (N Prov)
409,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (3)_28.png'],APARTMENTS AND TOWN HOUSES CONTD,Sheraton Manor Apartments 3 Updike St
410,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (3)_29.png'],APARTMENTS AND TOWN HOUSES CONTD,Smith Apartments 417 Pine St
411,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (3)_30.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (3)_31.png']",APARTMENTS AND TOWN HOUSES CONTD,Smithtield Manor Apartments 250 Smithfield Rd (N Prov)
412,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (3)_32.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (3)_33.png']",APARTMENTS AND TOWN HOUSES CONTD,Spring Dale Apts 2160 Mineral Spring Av(N Prov)
413,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (3)_34.png'],APARTMENTS AND TOWN HOUSES CONTD,Standish Apartments The 58 Taft Av
414,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (3)_35.png'],APARTMENTS AND TOWN HOUSES CONTD,Stephens Apartments 315 Elmwood Av
415,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (3)_36.png'],APARTMENTS AND TOWN HOUSES CONTD,Stillonian Apartments 353 Angell St
416,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (3)_37.png'],APARTMENTS AND TOWN HOUSES CONTD,Tanury Apartments 29 Elbow St
417,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (3)_38.png'],APARTMENTS AND TOWN HOUSES CONTD,Tavarozzi Apartments 206 Lexington Av
418,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (3)_39.png'],APARTMENTS AND TOWN HOUSES CONTD,Tong Apartments 22 Moore St
419,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (3)_40.png'],APARTMENTS AND TOWN HOUSES CONTD,Towne House 77 Pitman St
420,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (3)_41.png'],APARTMENTS AND TOWN HOUSES CONTD,Tyszkowski Katie 36 Arch St
421,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (3)_42.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (3)_43.png']",APARTMENTS AND TOWN HOUSES CONTD,University Apartments (Blackstone Blvd Inc) 50 Blackstone Blvd
422,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (3)_44.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (3)_45.png']",APARTMENTS AND TOWN HOUSES CONTD,University Apartments (Blackstone Blvd Inc) 225 University Av
423,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (3)_46.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (3)_47.png']",APARTMENTS AND TOWN HOUSES CONTD,University Heights Inc 1 Thomas Olney Common
424,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (3)_48.png'],APARTMENTS AND TOWN HOUSES CONTD,Villa Versailles 300 Smithfield Rd (N Prov)
425,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (3)_49.png'],APARTMENTS AND TOWN HOUSES CONTD,Washington Apartments 320 Wayland Av
426,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (3)_50.png'],APARTMENTS AND TOWN HOUSES CONTD,Washington Apartments The 98 Irving Av
427,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (3)_51.png'],APARTMENTS AND TOWN HOUSES CONTD,Waterman Manor The 126 Waterman-St
428,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (3)_52.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (3)_53.png']",APARTMENTS AND TOWN HOUSES CONTD,Waterman Street Apartments 2188 Waterman St
429,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (3)_54.png'],APARTMENTS AND TOWN HOUSES CONTD,Watson Apartments 102 Wayland Av
430,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (3)_55.png'],APARTMENTS AND TOWN HOUSES CONTD,Waverly Apartments 170 Waverly St
431,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (3)_56.png'],APARTMENTS AND TOWN HOUSES CONTD,Weiss James V 11 Medway St
432,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (3)_57.png'],APARTMENTS AND TOWN HOUSES CONTD,Wesleyan Apartments 48 Wesleyan Av
433,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (3)_58.png'],APARTMENTS AND TOWN HOUSES CONTD,Whitmarsh Apartments 78 Whitmarsh St
434,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (3)_59.png'],APARTMENTS AND TOWN HOUSES CONTD,Wiggin Village 1108 Westminster St
435,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (3)_60.png'],APARTMENTS AND TOWN HOUSES CONTD,Wiggin Village 109 Bridgham St
436,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (3)_61.png'],APARTMENTS AND TOWN HOUSES CONTD,Wiggin Village 71 Bridgham St
437,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (3)_62.png'],APARTMENTS AND TOWN HOUSES CONTD,Wiggin Village 159 Bridgham St
438,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (3)_63.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (3)_64.png']",APARTMENTS AND TOWN HOUSES CONTD,Williamsburg Apartments 1 High Service Av (N Prov)
439,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (3)_65.png'],APARTMENTS AND TOWN HOUSES CONTD,Windsor Apartments 172 Prospect St
440,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (3)_66.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (3)_67.png']",APARTMENTS AND TOWN HOUSES CONTD,Wenderful Realty Apartments 451 Friendship St
441,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (3)_68.png'],APARTMENTS AND TOWN HOUSES CONTD,Yorktown Village Apts 1-14 Ternay Gardens
442,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (3)_69.png'],APARTMENTS AND TOWN HOUSES CONTD,Zinni Gene 2 Conduit St
443,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (3)_71.png'],APIARISTS,Girouard G Thomas 48 Burlington St
444,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (3)_73.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (3)_74.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (3)_75.png']",*APPLIANCES-HOUSEHOLD,"SYDNEY SUPPLY CO 176 Union Av (02909), Tel (401) 944-0200 (See Index To Advertisers)"
