,Address - From Geocoder,Company_Name,Date_Added,File_List,Geocode Score,Header,Latitude,Longitude,Match Score,Query,Text
0,"472 Smith St, Providence, RI",Selinker Solomon E,2018-03-21,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_8.png'],100.0,CONTD,41.8356187343,-71.4267589394,100.0,472 SMITH ST PROVIDENCE,Selinker Solomon E 472 Smith St
0,"60 Broadway, Providence, RI",Villatico Guy,2018-03-21,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_13.png'],89.04,CONTD,41.8223471431,-71.4186252179,90.0,60 BROADWAY ST PROVIDENCE,Villatico Guy 60 Broadway Suite G
0,"111 Westminster St, Providence, RI",Ward Fisher & Co,2018-03-21,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_14.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_15.png']",100.0,CONTD,41.8243414414,-71.4107398174,90.0,111 WESTMINSTER ST PROVIDENCE,Ward Fisher & Co 111 Westminster St Rm 510
0,"111 Westminster St, Providence, RI",Young Arthur & Company,2018-03-21,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_16.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_17.png']",100.0,CONTD,41.8243414414,-71.4107398174,100.0,111 WESTMINSTER ST PROVIDENCE,"Young Arthur & Company 111 Westminster St (02903), Tel 274-1800"
0,"547 Mt Pleasant Ave, Providence, RI",Ayers Earl,2018-03-21,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_21.png'],100.0,ACCOUNTANTS-PUBLIC,41.8411771963,-71.452416087,95.0,547 MOUNT PLEASANT AVE PROVIDENCE,Ayers Earl 547 Mt Pleasant Av
0,"703 Fruit Hill Ave, North Providence, RI",Barone Norman A,2018-03-21,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_22.png'],100.0,ACCOUNTANTS-PUBLIC,41.8597101347,-71.4632124863,100.0,703 FRUIT HILL AVE NORTH PROVIDENCE,Barone Norman A 703 Fruit Hill Av (N Prov)
0,"270 Cole Ave, Providence, RI",Bergman Paul,2018-03-21,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_23.png'],100.0,ACCOUNTANTS-PUBLIC,41.8416841998,-71.3891804527,100.0,270 COLE AVE PROVIDENCE,Bergman Paul 270 Cole Av
0,"1051 Broad St, Providence, RI",Blake Harvey Accounting,2018-03-21,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_24.png'],100.0,ACCOUNTANTS-PUBLIC,41.7962286033,-71.4123039554,100.0,1051 BROAD ST PROVIDENCE,Blake Harvey Accounting 1051 Broad St
0,"36 Whitmarsh St, Providence, RI",Brown Lawrence E,2018-03-21,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_26.png'],100.0,ACCOUNTANTS-PUBLIC,41.8059865246,-71.4214223807,100.0,36 WHITMARSH ST PROVIDENCE,Brown Lawrence E 36 Whitmarsh St
0,"135 Whitford Ave, Providence, RI",Campana Falco B,2018-03-21,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_28.png'],100.0,ACCOUNTANTS-PUBLIC,41.839035792,-71.4439891307,100.0,135 WHITFORD AVE PROVIDENCE,Campana Falco B 135 Whitford Av
0,"207 Union Ave, Providence, RI",Ciolfl Alex & Co,2018-03-21,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_30.png'],100.0,ACCOUNTANTS-PUBLIC,41.8079726162,-71.4435568755,100.0,207 UNION AVE PROVIDENCE,Ciolfl Alex & Co 207 Union Av
0,"111 Westminster St, Providence, RI",Clegg Geo B Public Acct,2018-03-21,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_31.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_32.png']",100.0,ACCOUNTANTS-PUBLIC,41.8243414414,-71.4107398174,90.0,111 WESTMINSTER ST PROVIDENCE,Clegg Geo B Public Acct 111 Westminster St Rm 617
0,"35 Klondike St, Providence, RI",Clements Roy F,2018-03-21,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_33.png'],100.0,ACCOUNTANTS-PUBLIC,41.8362282872,-71.4703859554,100.0,35 KLONDIKE ST PROVIDENCE,Clements Roy F 35 Klondike St
0,"116 Wayland Ave, Providence, RI",Cofman Morris & Associates,2018-03-21,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_34.png'],100.0,ACCOUNTANTS-PUBLIC,41.8268151189,-71.3886180098,100.0,116 WAYLAND AVE PROVIDENCE,Cofman Morris & Associates 116 Wayland Av
0,"111 Westminster St, Providence, RI",Corrente Frank E,2018-03-21,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_35.png'],100.0,ACCOUNTANTS-PUBLIC,41.8243414414,-71.4107398174,90.0,111 WESTMINSTER ST PROVIDENCE,Corrente Frank E 111 Westminster St Rm 523
0,"515 Smith St, Providence, RI",D'Amico Robt A & Co,2018-03-21,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_36.png'],100.0,ACCOUNTANTS-PUBLIC,41.8361740085,-71.4278549009,100.0,515 SMITH ST PROVIDENCE,D'Amico Robt A & Co 515 Smith St
0,"168 Broadway, Providence, RI",David Bennie A,2018-03-21,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_37.png'],89.04,ACCOUNTANTS-PUBLIC,41.8213191906,-71.4227055012,92.0,168 BROADWAY ST PROVIDENCE,David Bennie A 168 Broadway
0,"1410 Mineral Spring Ave, Providence, RI",Di Chiara Michl W,2018-03-21,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_39.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_40.png']",97.97,ACCOUNTANTS-PUBLIC,41.8664888646,-71.4411571305,98.0,1410 MINERAL SPRING AV NORTH PROVIDENCE,Di Chiara Michl W 1410 Mineral Spring Av(N Prov)
0,"850 Admiral St, Providence, RI",Drummond Accounting Service,2018-03-21,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_41.png'],100.0,ACCOUNTANTS-PUBLIC,41.8515409642,-71.4447150178,100.0,850 ADMIRAL ST PROVIDENCE,Drummond Accounting Service 850 Admiral St
0,"170 Westminster St, Providence, RI",Duffy A Edgell,2018-03-21,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_42.png'],100.0,ACCOUNTANTS-PUBLIC,41.8236835378,-71.4114619757,90.0,170 WESTMINSTER ST PROVIDENCE,Duffy A Edgell 170 Westminster St Rm 300
0,"76 Westminster St, Providence, RI",Dufour Keenan Tripp,2018-03-21,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_43.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_44.png']",100.0,ACCOUNTANTS-PUBLIC,41.8246366352,-71.4101271767,90.0,76 WESTMINSTER ST PROVIDENCE,Dufour Keenan Tripp 76 Westminster St Rm 315
0,"27 Algonquin St, Providence, RI",Dydb Joseph A,2018-03-21,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_45.png'],100.0,ACCOUNTANTS-PUBLIC,41.793363245,-71.4281578829,100.0,27 ALGONQUIN ST PROVIDENCE,Dydb Joseph A 27 Algonquin St
0,"849 N Main St, Providence, RI",EDSON HUBERT,2018-03-21,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_2.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_3.png']",100.0,ACCOUNTANTS-PUBLIG-CONTD,41.8433065176,-71.4069603008,100.0,849 N MAIN ST PROVIDENCE,"EDSON HUBERT 849 N Main St (02904), Tel 831-1470"
0,"1845 Smith St, North Providence, RI",Ferrara R P & Co,2018-03-21,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_9.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_10.png']",97.97,ACCOUNTANTS-PUBLIG-CONTD,41.8548512572,-71.4750566002,100.0,1845 SMITH ST PROVIDENCE,Ferrara R P & Co 1845 Smith St (N Prov) Rm
0,"111 Westminster St, Providence, RI",Gereboff & Co,2018-03-21,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_11.png'],100.0,ACCOUNTANTS-PUBLIG-CONTD,41.8243414414,-71.4107398174,90.0,111 WESTMINSTER ST PROVIDENCE,Gereboff & Co 111 Westminster St Rm 620
0,"490 Elmwood Ave, Providence, RI",H & R Block,2018-03-21,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_12.png'],100.0,ACCOUNTANTS-PUBLIG-CONTD,41.7988024902,-71.4262709861,100.0,490 ELMWOOD AVE PROVIDENCE,H & R Block 490 Elmwood Av
0,"1075 Chalkstone Ave, Providence, RI",H & R Block Inc,2018-03-21,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_13.png'],100.0,ACCOUNTANTS-PUBLIG-CONTD,41.8324080495,-71.4435797982,100.0,1075 CHALKSTONE AVE PROVIDENCE,H & R Block Inc 1075 Chalkstone Av
0,"410 Hope St, Providence, RI",Hagopian James,2018-03-21,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_14.png'],100.0,ACCOUNTANTS-PUBLIG-CONTD,41.8375335053,-71.4007904421,100.0,410 HOPE ST PROVIDENCE,Hagopian James 410 Hope St
0,"1038 Chalkstone Ave, Providence, RI",Izzo Vincent T,2018-03-21,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_15.png'],100.0,ACCOUNTANTS-PUBLIG-CONTD,41.8322615294,-71.4422330326,96.0,1038 CHALKSTONE AVE PROVIDENCE,Izzo Vincent T 1038 Chailkstone Av
0,"501 Angell St, Providence, RI",Jarcho Myer C,2018-03-21,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_17.png'],100.0,ACCOUNTANTS-PUBLIG-CONTD,41.8302060039,-71.3874887656,100.0,501 ANGELL ST PROVIDENCE,Jarcho Myer C 501 Angell St
0,"111 Westminster St, Providence, RI",K-P Audit Co,2018-03-21,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_18.png'],100.0,ACCOUNTANTS-PUBLIG-CONTD,41.8243414414,-71.4107398174,90.0,111 WESTMINSTER ST PROVIDENCE,K-P Audit Co 111 Westminster St Rm 417
0,"501 Angell St, Providence, RI",Kanter Herbert,2018-03-21,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_19.png'],100.0,ACCOUNTANTS-PUBLIG-CONTD,41.8302060039,-71.3874887656,100.0,501 ANGELL ST PROVIDENCE,Kanter Herbert 501 Angell St
0,"74 Vassar Ave, Providence, RI",Kenyon John T,2018-03-21,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_23.png'],100.0,ACCOUNTANTS-PUBLIG-CONTD,41.8449083109,-71.3929171271,100.0,74 VASSAR AVE PROVIDENCE,Kenyon John T 74 Vassar Av
0,"111 Wayland Ave, Providence, RI",Kilberg Pierce & Co,2018-03-21,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_24.png'],100.0,ACCOUNTANTS-PUBLIG-CONTD,41.8266676908,-71.3884495059,100.0,111 WAYLAND AVE PROVIDENCE,Kilberg Pierce & Co 111 Wayland Av
0,"501 Angell St, Providence, RI",Labush Bernard,2018-03-21,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_25.png'],100.0,ACCOUNTANTS-PUBLIG-CONTD,41.8302060039,-71.3874887656,100.0,501 ANGELL ST PROVIDENCE,Labush Bernard 501 Angell St
0,"1243 Mineral Spring Ave, Providence, RI",Latina Ralph A,2018-03-21,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_26.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_27.png']",97.97,ACCOUNTANTS-PUBLIG-CONTD,41.8685432435,-71.4336423239,98.0,1243 MINERAL SPRING AV NORTH PROVIDENCE,Latina Ralph A 1243 Mineral Spring Av(N Prov)
0,"438 Broadway, Providence, RI",Mardo Anthony & Co,2018-03-21,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_31.png'],89.04,ACCOUNTANTS-PUBLIG-CONTD,41.8189940129,-71.4325516978,92.0,438 BROADWAY ST PROVIDENCE,Mardo Anthony & Co 438 Broadway
0,"1845 Smith St, North Providence, RI",Masso Thos J,2018-03-21,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_32.png'],97.97,ACCOUNTANTS-PUBLIG-CONTD,41.8548512572,-71.4750566002,100.0,1845 SMITH ST PROVIDENCE,Masso Thos J 1845 Smith St (N Prbv) Rm 2
0,"107 Bolton Ave, Providence, RI",Pascarella Steph E,2018-03-21,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_42.png'],100.0,ACCOUNTANTS-PUBLIG-CONTD,41.8354544178,-71.4492628668,100.0,107 BOLTON AVE PROVIDENCE,Pascarella Steph E 107 Bolton Av
0,"107 Bolton Ave, Providence, RI",d,2018-03-21,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_43.png'],100.0,ACCOUNTANTS-PUBLIG-CONTD,41.8354544178,-71.4492628668,100.0,107 BOLTON AVE PROVIDENCE,Pascarella Steph E 2d 107 Bolton Av
0,"414 Broadway, Providence, RI",Paterra J J & Co,2018-03-21,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_46.png'],89.04,ACCOUNTANTS-PUBLIG-CONTD,41.8192022317,-71.4316605686,92.0,414 BROADWAY ST PROVIDENCE,Paterra J J & Co 414 Broadway
0,"144 Westminster St, Providence, RI",Piccerelli Gilstein & Co,2018-03-21,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_49.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_50.png']",100.0,ACCOUNTANTS-PUBLIG-CONTD,41.8239653774,-71.4110465299,91.0,144 WESTMINSTER ST PROVIDENCE,Piccerelli Gilstein & Co 144 Westminster St 3d F1
0,"1410 Mineral Spring Ave, Providence, RI",Radcliffe And Co Rear,2018-03-21,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_3.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_4.png']",97.97,ACCOUNTANTS-PUBLIC-CONTD,41.8664888646,-71.4411571305,98.0,1410 MINERAL SPRING AV NORTH PROVIDENCE,Radcliffe And Co Rear 1410 Mineral Spring Av(N Prov)
0,"1480 Mineral Spring Ave, Providence, RI",Ricapito Michl P,2018-03-21,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_5.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_6.png']",97.97,ACCOUNTANTS-PUBLIC-CONTD,41.8654724544,-71.4442221348,98.0,1480 MINERAL SPRING AV NORTH PROVIDENCE,Ricapito Michl P 1480 Mineral Spring Av(N Prov)
0,"170 Westminster St, Providence, RI",Roiff Herbert A & Co,2018-03-21,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_8.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_9.png']",100.0,ACCOUNTANTS-PUBLIC-CONTD,41.8236835378,-71.4114619757,90.0,170 WESTMINSTER ST PROVIDENCE,Roiff Herbert A & Co 170 Westminster St Rm 700
0,"44 Warren St, Providence, RI",Ross Josli,2018-03-21,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_10.png'],100.0,ACCOUNTANTS-PUBLIC-CONTD,41.8107865421,-71.4258825759,100.0,44 WARREN ST PROVIDENCE,Ross Joslin 44 Warren St
0,"86 Weybosset St, Providence, RI",Rouslin Edw,2018-03-21,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_11.png'],100.0,ACCOUNTANTS-PUBLIC-CONTD,41.8234360317,-71.4103394457,90.0,86 WEYBOSSET ST PROVIDENCE,"Rouslin Edw 86 Weybosset St -."".m 406"
0,"344 Wickenden St, Providence, RI",S-S Accounting,2018-03-21,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_12.png'],100.0,ACCOUNTANTS-PUBLIC-CONTD,41.8196272569,-71.3964210966,100.0,344 WICKENDEN ST PROVIDENCE,S-S Accounting 344 Wickenden St
0,"501 Angell St, Providence, RI",Satloff Morris,2018-03-21,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_14.png'],100.0,ACCOUNTANTS-PUBLIC-CONTD,41.8302060039,-71.3874887656,100.0,501 ANGELL ST PROVIDENCE,Satloff Morris 501 Angell St
0,"147 Hilary Dr, Providence, RI",Scanlon Bernard A,2018-03-21,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_16.png'],100.0,ACCOUNTANTS-PUBLIC-CONTD,41.8440108155,-71.4503009287,100.0,147 HILARY DR PROVIDENCE,Scanlon Bernard A 147 Hilary Dr
0,"501 Angell St, Providence, RI",Schwartz Harold,2018-03-21,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_17.png'],100.0,ACCOUNTANTS-PUBLIC-CONTD,41.8302060039,-71.3874887656,100.0,501 ANGELL ST PROVIDENCE,Schwartz Harold 501 Angell St
0,"1330 Mineral Spring Ave, Providence, RI",Seplocha Joh,2018-03-21,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_18.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_19.png']",97.97,ACCOUNTANTS-PUBLIC-CONTD,41.8674919036,-71.4374594893,98.0,1330 MINERAL SPRING AV NORTH PROVIDENCE,Seplocha John 1330 Mineral Spring Av(N Prov)
0,"566 Smith St, Providence, RI",Short Edw,2018-03-21,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_20.png'],100.0,ACCOUNTANTS-PUBLIC-CONTD,41.836058625,-71.4297427864,100.0,566 SMITH ST PROVIDENCE,Short Edw 566 Smith St
0,"1410 Mineral Spring Ave, Providence, RI",Sibilia Edith M Mrs Rear,2018-03-21,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_21.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_22.png']",97.97,ACCOUNTANTS-PUBLIC-CONTD,41.8664888646,-71.4411571305,98.0,1410 MINERAL SPRING AV NORTH PROVIDENCE,Sibilia Edith M Mrs Rear 1410 Mineral Spring Av(N Prov)
0,"170 Westminster St, Providence, RI",Sisto Turose Maccarone & Proia,2018-03-21,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_23.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_24.png']",100.0,ACCOUNTANTS-PUBLIC-CONTD,41.8236835378,-71.4114619757,90.0,170 WESTMINSTER ST PROVIDENCE,Sisto Turose Maccarone & Proia 170 Westminster St Rm 702
0,"147 Power St, Providence, RI",Sullivan John F,2018-03-21,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_25.png'],100.0,ACCOUNTANTS-PUBLIC-CONTD,41.8231533323,-71.396955306,100.0,147 POWER ST PROVIDENCE,Sullivan John F 147 Power St
0,"501 Angell St, Providence, RI",Yarlas Steph,2018-03-21,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_27.png'],100.0,ACCOUNTANTS-PUBLIC-CONTD,41.8302060039,-71.3874887656,100.0,501 ANGELL ST PROVIDENCE,Yarlas Steph 501 Angell St
0,"111 Westminster St, Providence, RI",Young Arth & Co,2018-03-21,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_28.png'],100.0,ACCOUNTANTS-PUBLIC-CONTD,41.8243414414,-71.4107398174,94.0,111 WESTMINSTER ST PROVIDENCE,Young Arth & Co 111 Westminster St 824
0,"500 Broadway, Providence, RI",Zelano Richd R,2018-03-21,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_29.png'],89.04,ACCOUNTANTS-PUBLIC-CONTD,41.8184893663,-71.4347966428,92.0,500 BROADWAY ST PROVIDENCE,Zelano Richd R 500 Broadway
0,"25 Eagle St, Providence, RI",ENGINEERING),2018-03-21,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_34.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_35.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_36.png']",100.0,(ACCOUSTICAL PRODUCTS &,41.8267437526,-71.4359479592,100.0,25 EAGLE ST PROVIDENCE,"ENGINEERING) 25 Eagle St (02908), Tel 272-8880 ' ADJUSTERS"
0,"1991 Smith St, North Providence, RI",Nappi Lou Adjustment Bureau,2018-03-21,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_41.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_42.png']",100.0,(ACCOUSTICAL PRODUCTS &,41.8571995361,-71.4832627055,100.0,1991 SMITH ST NORTH PROVIDENCE,Nappi Lou Adjustment Bureau 1991 Smith St (N Prov)
0,"38 Pontiac Ave, Providence, RI",Pellegrino vincent Adjusters,2018-03-21,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_43.png'],100.0,(ACCOUSTICAL PRODUCTS &,41.7874972272,-71.4314500653,100.0,38 PONTIAC AVE PROVIDENCE,Pellegrino vincent Adjusters 38 Pontiac Av
0,"111 Westminster St, Providence, RI",Pelletier & Rourke,2018-03-21,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_44.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_45.png']",100.0,(ACCOUSTICAL PRODUCTS &,41.8243414414,-71.4107398174,95.0,111 WESTMINSTER ST PROVIDENCE,Pelletier & Rourke 111 Westminster St Rm
0,"111 Westminster St, Providence, RI",Peterson Evert M L,2018-03-21,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_46.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_47.png']",100.0,(ACCOUSTICAL PRODUCTS &,41.8243414414,-71.4107398174,90.0,111 WESTMINSTER ST PROVIDENCE,Peterson Evert M L 111 Westminster St Rm 401
0,"85 Arnold St, Providence, RI",Baker Advertising Associates,2018-03-21,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_50.png'],100.0,ADOPTION AGENCIES,41.8214781869,-71.3955902054,100.0,85 ARNOLD ST PROVIDENCE,Baker Advertising Associates 85 Arnold St
0,"910 Smith St, Providence, RI",A M B M E Advertising Agency,2018-03-21,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_52.png'],100.0,ADVERTISING AGENCIES,41.8408083581,-71.4410847215,100.0,910 SMITH ST PROVIDENCE,A M B M E Advertising Agency 910 Smith St
0,"146 Westminster St, Providence, RI",Albrektson Studios Inc,2018-03-21,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_54.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_55.png']",100.0,ADVERTISING AGENCIES,41.823944855,-71.4110755544,90.0,146 WESTMINSTER ST PROVIDENCE,Albrektson Studios Inc 146 Westminster St Rm 403
0,"84 Ledge St, Providence, RI",All Media Associates,2018-03-21,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_57.png'],100.0,ADVERTISING AGENCIES,41.8539809281,-71.4177440077,100.0,84 LEDGE ST PROVIDENCE,All Media Associates 84 Ledge St
0,"135 Dean St, Providence, RI",Benell Advertising Co,2018-03-21,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_61.png'],100.0,ADVERTISING AGENCIES,41.8232648027,-71.4241390227,100.0,135 DEAN ST PROVIDENCE,Benell Advertising Co 135 Dean St
0,"46 Clym St, Providence, RI",Bradley Wm J,2018-03-21,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_64.png'],100.0,ADVERTISING AGENCIES,41.8435491478,-71.4259816276,100.0,46 CLYM ST PROVIDENCE,Bradley Wm J 46 Clym St
